case,bytes,category,profile,mode,engine,strict_all_six,ns,round_min_ns,round_max_ns,speed_relative_to_v2
guard-angle-link,41,syntax-guard,commonmark,fresh,bun,no,467.89289456532333,462.5524467943686,468.75257068218326,0.5940536166373465
legacy-contributing,9323,technical-docs,gfm,fresh,v2,no,10950.554755434783,10917.969185719641,11010.525219298244,1.0
legacy-contributing,9323,technical-docs,gfm,fresh,ox-content,no,11080.92519358407,11072.905005530974,11114.035813053099,0.9882346973856685
legacy-contributing,9323,technical-docs,gfm,fresh,v1,no,15459.080825617284,15390.847179878048,15468.638521906054,0.7083574294591041
legacy-contributing,9323,technical-docs,gfm,fresh,md4c,no,23413.47164351852,23395.230613425927,23612.163975148498,0.467703163467695
legacy-contributing,9323,technical-docs,gfm,fresh,pulldown-cmark,no,22454.647879464286,22351.779145128447,22529.401785714286,0.4876743030760025
legacy-contributing,9323,technical-docs,gfm,fresh,bun,no,47691.04456018518,47172.81539351852,47959.12905092593,0.22961448750855926
legacy-node-ferromark-readme,9075,readme,gfm,fresh,v2,no,10870.834796664167,10759.815705128205,10872.163722826088,1.0
legacy-node-ferromark-readme,9075,readme,gfm,fresh,ox-content,no,11115.827710176993,11093.807522123894,11125.755683153195,0.9779599936324558
legacy-node-ferromark-readme,9075,readme,gfm,fresh,v1,no,15801.843248121044,15780.7701171875,15834.76500692247,0.6879472619725416
legacy-node-ferromark-readme,9075,readme,gfm,fresh,md4c,no,25642.073341836734,25609.69387755102,25666.135204081635,0.42394523452702565
legacy-node-ferromark-readme,9075,readme,gfm,fresh,pulldown-cmark,no,22612.630301339283,22525.832310267855,22712.704520089286,0.4807417205251137
legacy-node-ferromark-readme,9075,readme,gfm,fresh,bun,no,47522.68981481482,46710.84143518518,47549.35879629629,0.22875041036240484
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v2,no,2434.6298334143967,2428.7247813887634,2462.0509885183073,1.0
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,ox-content,no,2457.9380832514735,2451.53443627451,2484.0111913464652,0.9905171533831952
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,v1,no,3702.921794817249,3698.9566657230193,3714.794877573348,0.6574888610453501
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,md4c,no,5614.198010089686,5589.928083147322,5662.292067307692,0.43365585414674457
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,pulldown-cmark,no,4812.9306490384615,4784.7611521946565,4879.743316294154,0.5058518418296329
legacy-docs-migration-0-2,1985,technical-docs,gfm,fresh,bun,no,8969.098772321428,8920.389320542046,8995.653439748201,0.271446429035618
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,v2,no,3063.5368143322426,3061.328430623472,3082.26539408867,1.0
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,ox-content,no,3083.1361222290643,3079.883140900921,3106.0729295905708,0.9936430611170513
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,v1,no,3930.9922566589776,3877.273731181678,3934.9749207059203,0.7793291398991457
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,md4c,no,6592.423733724856,6545.059266095386,6624.552166005291,0.4647056891473936
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,pulldown-cmark,no,5421.554959812099,5414.740572870018,5454.679008152174,0.5650660810488988
legacy-docs-migration-0-3,2379,technical-docs,gfm,fresh,bun,no,10838.677543199554,10778.406517094018,10841.140220905172,0.28264857978493685
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v2,no,7684.208876533743,7676.98107663568,7707.666315184049,1.0
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,ox-content,no,7690.01629601227,7628.215221960458,7695.947565184049,0.9992448105107998
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,v1,no,12245.979975728154,12221.417324029127,12273.04825367647,0.6274882771133091
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,md4c,no,19258.313461538462,19256.048313665502,19278.415625,0.3990073633332524
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,pulldown-cmark,no,16475.76603618421,16431.11992694805,16482.71435246497,0.4663946343774014
legacy-docs-migration-0-4,7045,technical-docs,gfm,fresh,bun,no,33069.74695301957,33064.09333881579,33178.31702302631,0.232363703521841
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,v2,no,3083.110151154943,3081.6816502463053,3118.8743375935164,1.0
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,ox-content,no,3075.604953738305,3073.135787776413,3116.358156807918,1.0024402345325643
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,v1,no,4498.647563985611,4483.490591397849,4541.213909172957,0.6853415626147513
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,md4c,no,7076.726224270774,7076.410808159557,7157.154017857143,0.43566898781260177
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,pulldown-cmark,no,5829.784375,5793.035083912037,5869.330105633803,0.5288549203254097
legacy-docs-migration-0-8,2374,technical-docs,gfm,fresh,bun,no,10699.085202991453,10673.06079557801,10771.220360622974,0.2881657723683618
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v2,no,5293.7976398796745,5274.797710460767,5309.997947563559,1.0
legacy-docs-releasing,4141,technical-docs,gfm,fresh,ox-content,no,5260.994800639921,5211.035427202196,5261.232942784192,1.0062351020068987
legacy-docs-releasing,4141,technical-docs,gfm,fresh,v1,no,9134.199501811594,9082.965466485508,9194.902886331312,0.5795579173445632
legacy-docs-releasing,4141,technical-docs,gfm,fresh,md4c,no,10915.036277173913,10878.205093937406,10941.47606788711,0.48500046224769194
legacy-docs-releasing,4141,technical-docs,gfm,fresh,pulldown-cmark,no,11870.018700864779,11849.86733490566,11984.561011904761,0.4459805644193299
legacy-docs-releasing,4141,technical-docs,gfm,fresh,bun,no,21096.39765625,20925.36875,21134.03854166667,0.2509337246167873
legacy-docs-readme-theme,2848,technical-docs,gfm,fresh,v2,no,2550.631184470988,2542.1221506642896,2579.6820876288657,1.0
legacy-docs-readme-theme,2848,technical-docs,gfm,fresh,ox-content,no,2607.40693359375,2573.7187019067933,2610.372814651979,0.9782252058966074
legacy-docs-readme-theme,2848,technical-docs,gfm,fresh,v1,no,4253.341523802317,4217.787668350168,4273.533063139932,0.5996770233937918
legacy-docs-readme-theme,2848,technical-docs,gfm,fresh,md4c,no,6893.579756181319,6865.867657103825,6972.6904819405645,0.37000096824641715
legacy-docs-readme-theme,2848,technical-docs,gfm,fresh,pulldown-cmark,no,6427.341537889194,6381.656200225966,6469.800418814433,0.3968407730373454
legacy-docs-readme-theme,2848,technical-docs,gfm,fresh,bun,no,13748.12818024367,13642.954436214353,13858.059460851648,0.18552570582927028
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v2,no,4007.451882436819,3994.269469326784,4076.5196966612375,1.0
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,ox-content,no,4042.061981287191,4035.8448338432245,4104.809774896801,0.9914375140681662
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,v1,no,6659.006565824468,6658.906083776596,6773.754222972973,0.6018092703202863
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,md4c,no,9426.226621240601,9417.567316729324,9577.67771946565,0.42513850382152085
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,pulldown-cmark,no,9402.635261194031,9374.319729477611,9543.800663782386,0.4262051830273715
legacy-docs-markdown-extensions,3707,technical-docs,gfm,fresh,bun,no,18806.3104011194,18779.046233675374,19171.953835227272,0.21309080818948328
legacy-docs-mdx,7422,technical-docs,gfm,fresh,v2,no,7751.860725308641,7719.3915469022195,7798.433012058424,1.0
legacy-docs-mdx,7422,technical-docs,gfm,fresh,ox-content,no,7861.115370725236,7830.99775390625,7895.710495283019,0.9861018900926631
legacy-docs-mdx,7422,technical-docs,gfm,fresh,v1,no,10961.791361556065,10890.409782608695,10973.561637109076,0.7071709786864834
legacy-docs-mdx,7422,technical-docs,gfm,fresh,md4c,no,19546.868505859376,19543.22932692308,19821.32958984375,0.39657813848724366
legacy-docs-mdx,7422,technical-docs,gfm,fresh,pulldown-cmark,no,15618.604964795526,15537.037037037036,15857.006741989715,0.4963222222971516
legacy-docs-mdx,7422,technical-docs,gfm,fresh,bun,no,36524.68392857142,36399.12589285714,36868.154910714286,0.21223621648494953
legacy-docs-readme,1825,readme,gfm,fresh,v2,no,4560.928068181818,4545.965497364954,4592.557577838828,1.0
legacy-docs-readme,1825,readme,gfm,fresh,ox-content,no,4638.548904991838,4556.955511363636,4639.472395833333,0.9832661380962294
legacy-docs-readme,1825,readme,gfm,fresh,v1,no,5482.223594133054,5446.548946569735,5515.107598334009,0.8319485679246676
legacy-docs-readme,1825,readme,gfm,fresh,md4c,no,9191.502791735991,9059.911717365238,9224.322150735294,0.49621135645876246
legacy-docs-readme,1825,readme,gfm,fresh,pulldown-cmark,no,6573.62355547327,6523.661295572916,6609.440131578947,0.693822521124493
legacy-docs-readme,1825,readme,gfm,fresh,bun,no,12419.670637376239,12407.732518564357,12504.5053125,0.36723422072530526
legacy-docs-adr-readme-theme-composition,1532,technical-docs,gfm,fresh,v2,no,1608.0383201841669,1587.5685891760595,1608.131605930313,1.0
legacy-docs-adr-readme-theme-composition,1532,technical-docs,gfm,fresh,ox-content,no,1592.9505138477105,1573.924076950953,1607.6273767549642,1.0094716102008796
