case,category,size_bin,bytes,profile,output,mode,main_us,v2_us,main_over_v2,ratio_min,ratio_max,leader
legacy-docs-migration-0-4,technical-docs,2–10 KiB,7045,gfm,heading-id-only,fresh,13.867240992647059,8.965996660305343,1.5431173518068788,1.5277921872133597,1.554947629068793,v2
legacy-docs-migration-0-4,technical-docs,2–10 KiB,7045,gfm,heading-id-only,owned,12.932549278846155,8.33185117464539,1.5511641360431232,1.5317822850806244,1.5741603849361139,v2
legacy-docs-migration-0-4,technical-docs,2–10 KiB,7045,gfm,heading-id-only,reuse,12.458374669312168,8.334307624113475,1.5012534893869212,1.4728478364423767,1.5098288724610007,v2
legacy-docs-migration-0-8,technical-docs,2–10 KiB,2374,gfm,heading-id-only,fresh,5.768763436732187,3.653489680685358,1.5771869071399127,1.5536427073006354,1.5835900302434762,v2
legacy-docs-migration-0-8,technical-docs,2–10 KiB,2374,gfm,heading-id-only,owned,4.834662242268041,3.316756188118812,1.456832822044003,1.4461698476943403,1.4617240021378466,v2
legacy-docs-migration-0-8,technical-docs,2–10 KiB,2374,gfm,heading-id-only,reuse,4.612823366895874,3.292359770014045,1.3993937506349796,1.3893885424349954,1.409338490774219,v2
legacy-docs-releasing,technical-docs,2–10 KiB,4141,gfm,heading-id-only,fresh,10.856457465277778,6.209662946428572,1.7504366141474097,1.7386266317866765,1.7588022803101413,v2
legacy-docs-releasing,technical-docs,2–10 KiB,4141,gfm,heading-id-only,owned,9.802593359374999,5.818196184863524,1.6817436126219105,1.6576877106373966,1.6981206642133493,v2
legacy-docs-releasing,technical-docs,2–10 KiB,4141,gfm,heading-id-only,reuse,9.518930288461538,5.752109451593137,1.6669383182042425,1.644897981100755,1.7088023696799017,v2
legacy-docs-readme-theme,technical-docs,2–10 KiB,2848,gfm,serialization-equivalent,fresh,5.4759312354312355,3.198966490450205,1.70089796221745,1.6915559543915895,1.7174792531787033,v2
legacy-docs-readme-theme,technical-docs,2–10 KiB,2848,gfm,serialization-equivalent,owned,4.577751159667969,2.869863410342717,1.604059567922569,1.5882489697184448,1.6201875834678294,v2
legacy-docs-readme-theme,technical-docs,2–10 KiB,2848,gfm,serialization-equivalent,reuse,4.448608515180266,2.8108232164268583,1.5837432062253503,1.576716430759293,1.595171011226797,v2
legacy-docs-markdown-extensions,technical-docs,2–10 KiB,3707,gfm,serialization-equivalent,fresh,8.05995844072165,4.8308443930041145,1.6684367752341271,1.6521975460735512,1.6873893736560857,v2
legacy-docs-markdown-extensions,technical-docs,2–10 KiB,3707,gfm,serialization-equivalent,owned,7.060939006024097,4.473148258587787,1.5814803181095105,1.553551269758493,1.5884955625474662,v2
legacy-docs-markdown-extensions,technical-docs,2–10 KiB,3707,gfm,serialization-equivalent,reuse,6.911929411764706,4.415276306497175,1.5621978541237544,1.5516594140795374,1.5721377966163705,v2
legacy-docs-mdx,technical-docs,2–10 KiB,7422,gfm,heading-id-only,fresh,12.83330481557377,9.204355637254903,1.3938987659550806,1.3725276245593063,1.4220079402395416,v2
legacy-docs-mdx,technical-docs,2–10 KiB,7422,gfm,heading-id-only,owned,11.566970751231526,8.739965729553903,1.3247735831679017,1.3113607738845379,1.3290382169316448,v2
legacy-docs-mdx,technical-docs,2–10 KiB,7422,gfm,heading-id-only,reuse,11.03062646713615,8.739259061338291,1.264256977572969,1.2522348589651973,1.2795028805502415,v2
legacy-docs-readme,readme,512 B–2 KiB,1825,gfm,exact,fresh,6.6185482394366195,5.434790364583333,1.2173956693555898,1.2066307381392252,1.2236790324499962,v2
legacy-docs-readme,readme,512 B–2 KiB,1825,gfm,exact,owned,5.706150471411193,5.107871459694989,1.1206046656341035,1.1120567626751674,1.1249616943620446,v2
legacy-docs-readme,readme,512 B–2 KiB,1825,gfm,exact,reuse,5.486081702686916,5.049381182795699,1.0864955935266607,1.0762697840520568,1.1009572863665722,v2
legacy-docs-adr-readme-theme-composition,technical-docs,512 B–2 KiB,1532,gfm,serialization-equivalent,fresh,3.2927877018960676,2.1271894566696914,1.5398760068720618,1.5303559629418984,1.5644055596351538,v2
legacy-docs-adr-readme-theme-composition,technical-docs,512 B–2 KiB,1532,gfm,serialization-equivalent,owned,2.616975341796875,1.7910747946906036,1.4607623105885812,1.4443568842349293,1.4794281863856924,v2
legacy-docs-adr-readme-theme-composition,technical-docs,512 B–2 KiB,1532,gfm,serialization-equivalent,reuse,2.5211609543010756,1.7566653723802395,1.4328123277249263,1.4223307760774564,1.4469241579567051,v2
rust-book-ch03-04-comments,technical-docs,<512 B,393,gfm,serialization-equivalent,fresh,1.5400146805190538,1.1482270751714005,1.341157380050851,1.3243297437781874,1.3579035303939366,v2
rust-book-ch03-04-comments,technical-docs,<512 B,393,gfm,serialization-equivalent,owned,1.0062175831545064,0.8088089630779848,1.2421514838926309,1.2346472195812777,1.2503587065118387,v2
rust-book-ch03-04-comments,technical-docs,<512 B,393,gfm,serialization-equivalent,reuse,0.9402963673285198,0.7741014386558785,1.2119587529657554,1.1998084617492333,1.2278551012578844,v2
